8730667,30.2786,-87.5550
8731439,30.2799,-87.6843
8733821,30.4866,-87.9345
8735181,30.2513,-88.0795
8735523,30.4437,-88.1139
8737048,30.7083,-88.0433
8738043,30.3766,-88.1586
9450251,55.0354,-133.0238
9450364,55.2017,-132.8230
9450466,55.3583,-132.3680
9450544,55.4800,-132.6450
9450581,55.5350,-132.3970
9450625,55.6017,-132.5120
9450711,55.7217,-133.3500
9450815,55.8800,-132.5950
9450914,56.0383,-131.0950
9450970,56.1183,-132.0780
9450987,56.1483,-133.4600
9451005,56.1783,-132.6970
9451054,56.2467,-134.6470
9451152,56.3922,-132.1690
9451263,56.5583,-132.9630
9451335,56.6633,-132.6170
9451376,56.7217,-135.0750
9451434,56.8000,-132.9800
9451467,56.8567,-134.7230
9451600,57.0517,-135.3420
9451706,57.1883,-134.2870
9451785,57.2950,-133.7970
9451936,57.5150,-135.5550
9452022,57.8783,-133.1900
9452069,57.8067,-133.6300
9452131,58.3667,-134.0520
9452210,58.2983,-134.4120
9452294,58.0850,-134.7770
9452328,57.9667,-134.9350
9452368,58.2150,-135.1270
9452391,58.7133,-135.2320
9452434,59.3017,-135.4280
9452516,58.2867,-135.8030
9452584,58.9133,-136.1080
9452634,58.1947,-136.3469
9452749,58.9648,-136.8776
9453208,59.6117,-139.5800
9453220,59.5485,-139.7334
9453456,59.8850,-141.4570
9454050,60.5583,-145.7530
9454328,61.0817,-146.6680
9454374,60.8983,-146.7820
9454460,61.0233,-147.0850
9454561,60.1267,-147.3950
9454616,60.0250,-147.5920
9454662,60.2500,-147.7170
9454674,59.8900,-147.7950
9454721,60.6717,-147.9320
9454755,60.1967,-148.0420
9454794,60.6233,-148.1650
9454818,60.4917,-148.2420
9454907,60.7650,-148.5230
9454951,60.4567,-148.6650
9455120,59.7733,-149.5880
9455146,59.8850,-149.7180
9455178,59.7483,-149.9000
9455428,59.2133,-151.7280
9455517,59.4683,-151.5650
9455606,59.7720,-151.8670
9455732,60.5117,-151.9520
9455768,60.7133,-151.7270
9455866,61.0367,-150.4130
9455914,61.1733,-150.2050
9455934,61.2683,-149.9170
9456717,58.3917,-153.9580
9456993,58.0633,-154.4770
9457261,57.7833,-152.4280
9457292,57.7317,-152.5120
9457393,57.7394,-152.8747
9457527,57.2028,-153.3039
9457724,57.5333,-153.9900
9458209,57.7067,-155.3930
9458471,57.0133,-156.4830
9458705,56.6167,-157.4920
9458819,56.6133,-157.9830
9458917,56.2967,-158.4000
9459016,55.8900,-158.8200
9459450,55.3367,-160.5020
9459949,55.2083,-162.6980
9462450,52.9406,-168.8713
9462645,53.8289,-166.2162
9462694,54.1333,-165.7773
9462719,54.2333,-165.5330
9462782,54.1200,-164.9770
9462808,54.3936,-164.7457
9462955,54.8583,-163.4070
9464212,57.1253,-170.2852
9465358,58.9867,-160.6250
9465601,59.3780,-162.0293
9466153,60.2703,-162.4102
9466328,60.5543,-162.2971
9467551,62.5329,-164.8453
9468258,63.6791,-170.5371
9468691,64.3802,-161.2351
9469237,65.2567,-166.8470
9469439,65.5583,-167.9750
9469541,65.7571,-168.9495
9469804,66.1700,-166.2070
9469982,66.4617,-165.0550
9490571,67.0542,-163.3213
9491253,67.7267,-164.5920
9494168,70.5983,-160.1080
9497645,70.4000,-148.5270
9497651,70.3883,-148.5020
2695535,32.3700,-64.6950
9410025,32.5717,-117.1200
9410170,32.7142,-117.1736
9410302,33.0133,-117.2770
9410650,33.7067,-118.2730
9410738,33.8467,-118.3980
9410971,34.0200,-119.6830
9411340,34.4083,-119.6850
9412110,35.1767,-120.7600
9413450,36.6050,-121.8880
9413631,36.8183,-121.7470
9413663,36.8567,-121.7550
9414305,37.8100,-122.4130
9414392,37.6650,-122.3770
9414506,37.5133,-122.0800
9414519,37.4933,-122.0420
9414537,37.4567,-122.1100
9414575,37.4650,-122.0230
9414609,37.5517,-122.1620
9414746,37.7717,-122.2350
9414764,37.7950,-122.2820
9414777,37.8050,-122.3380
9414782,37.8100,-122.3600
9414796,37.8333,-122.3970
9414816,37.8650,-122.3070
9414835,37.8917,-121.4880
9414849,37.9100,-122.3580
9414867,37.9367,-121.3330
9414874,37.9433,-122.5130
9414958,37.9080,-122.6785
9415020,37.9961,-122.9767
9415052,38.0150,-122.5030
9415064,38.0200,-121.8150
9415102,38.0346,-122.1252
9415112,38.0433,-121.9180
9415126,38.0483,-122.4980
9415145,38.0550,-121.6570
9415165,38.1117,-122.2730
9415193,38.0867,-121.6850
9415218,38.0700,-122.2500
9415236,38.1067,-121.7000
9415265,38.1283,-122.0730
9415307,38.1367,-121.9070
9415338,38.1567,-122.4070
9415379,38.1800,-122.0450
9415414,38.1833,-121.6550
9415438,38.2050,-122.3730
9415477,38.2317,-122.9680
9415489,38.2400,-121.5220
9415565,38.2767,-121.4950
9415846,38.4167,-121.5230
9416841,38.9133,-123.7080
9418723,40.7233,-124.2220
9418778,40.7783,-124.1970
9418802,40.8067,-124.1420
9418983,40.8983,-124.1350
9419945,41.9452,-124.2009
9500966,22.2617,-97.7950
9635000,13.9167,-90.8300
9650593,15.8350,-87.8700
9654234,16.0167,-86.0333
9665401,14.0422,-83.3819
9712714,25.5517,-79.2817
9751364,17.7500,-64.7050
9751401,17.6947,-64.7538
9751472,18.3350,-64.7950
9751583,18.3489,-64.8642
9751768,18.3712,-64.9635
9752619,18.1525,-65.4438
9753216,18.3352,-65.6311
9755371,18.4589,-66.1164
9757809,18.4805,-66.7024
9759189,18.0748,-67.1888
9759412,18.4566,-67.1646
9761115,17.5907,-61.8206
8460751,41.3433,-71.9750
8461490,41.3614,-72.0900
8463701,41.2683,-72.5317
8464255,41.6633,-72.6300
8465692,41.2517,-72.9050
8466375,41.2050,-73.0417
8466664,41.2750,-73.0883
8467150,41.1733,-73.1817
8468191,41.1200,-73.3683
8468799,41.0383,-73.4800
8550438,39.7500,-75.4933
8551702,39.5833,-75.5733
8551910,39.5583,-75.5733
8555388,39.0583,-75.3967
8556198,38.9450,-75.3133
8557863,38.7200,-75.0833
8558695,38.6100,-75.0700
8559885,38.4633,-75.0550
8593005,38.8717,-76.9950
8594900,38.8733,-77.0217
7641400,6.4233,3.4117
8720001,30.7867,-81.8400
8720007,30.7033,-81.5767
8720012,30.7167,-81.3017
8720051,30.6433,-81.5233
8720084,30.5883,-81.6633
8720097,30.5767,-81.5717
8720135,30.5183,-81.4533
8720145,30.5017,-81.5417
8720186,30.4400,-81.4383
8720198,30.4067,-81.5100
8720213,30.4200,-81.7283
8720216,30.3983,-81.6983
8720219,30.3867,-81.5583
8720224,30.3950,-81.4317
8720232,30.3767,-81.4483
8720267,30.3233,-81.4383
8720291,30.2833,-81.3867
8720333,30.2283,-81.6633
8720398,30.1333,-81.3867
8720434,30.0800,-81.7617
8720503,29.9783,-81.6283
8720582,29.8667,-81.3067
8720623,29.7933,-81.2717
8720653,29.7633,-81.5617
8720757,29.6150,-81.2050
8720782,29.5717,-81.6067
8720833,29.4783,-81.1367
8721020,29.2283,-81.0050
8721138,29.0817,-80.9367
8721191,28.9883,-80.9000
8721374,28.7333,-80.7567
8721608,28.4083,-80.6017
8721749,28.2117,-80.6633
8721874,28.0417,-80.5800
8722029,27.8117,-80.4633
8722146,27.5933,-80.3567
8722212,27.4700,-80.2883
8722274,27.3550,-80.2733
8722338,27.2350,-80.2100
8722371,27.1750,-80.1883
8722404,27.1133,-80.1450
8722445,27.0367,-80.1067
8722481,26.9700,-80.1267
